000,1
001,2
001001,3
001002,4
001003,5
001004,6
001005,7
001006,8
001007,9
001008,10
001009,11
001010,12
001011,13
001012,14
002,15
002001,16
002002,17
002003,18
002004,19
002005,20
002006,21
002007,22
002008,23
002009,24
002010,25
002011,26
002012,27
003,28
003001,29
003002,30
003003,31
003004,32
003005,33
003006,34
003007,35
003008,36
003009,37
003010,38
004,39
004001,40
004002,41
004003,42
004004,43
004005,44
004006,45
004007,46
004008,47
004009,48
004010,49
005,50
005001,51
005002,52
005003,53
005004,54
005005,55
005006,56
005007,57
005008,58
005009,59
005010,60
007,61
007001,62
007002,63
007003,64
007004,65
007005,66
007006,67
007007,68
007008,69
007009,70
007010,71
007011,72
007012,73
007013,74
007014,75
007015,76
007016,77
007017,78
007018,79
007019,80
008,81
008001,82
008002,83
008003,84
008004,85
008005,86
009,87
009001,88
009002,89
009003,90
014,91
014001,92
014002,93
014003,94
014004,95
015,96
015001,97
015002,98
015003,99
015004,100
015005,101
015006,102
016,103
016001,104
016002,105
016003,106
016004,107
016005,108
016006,109
016007,110
016018,111
017,112
017001,113
017002,114
017003,115
017004,116
017005,117
017006,118
017007,119
017009,120
017010,121
017011,122
017012,123
018,124
018001,125
018002,126
018003,127
018004,128
018005,129
020,130
020001,131
020002,132
020003,133
020004,134
020005,135
020006,136
020007,137
021,138
021001,139
021002,140
022,141
022007,142
022008,143
022014,144
023,145
023001,146
023002,147
023003,148
023004,149
023005,150
023006,151
023007,152
999,153
999001,154
999002,155
017008,156
